"","Rank","Title","Link","NA.","Rating","VoteCount","Description","MetaScore"
"1","1"," The Shawshank Redemption","https://imdb.com/title/tt0111161/?ref_=chttp_t_1","https://imdb.com/title/tt0111161/?ref_=chttp_t_1","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"2","2"," The Godfather","https://imdb.com/title/tt0068646/?ref_=chttp_t_2","https://imdb.com/title/tt0068646/?ref_=chttp_t_2","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"3","3"," The Dark Knight","https://imdb.com/title/tt0468569/?ref_=chttp_t_3","https://imdb.com/title/tt0468569/?ref_=chttp_t_3","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"4","4"," The Godfather Part II","https://imdb.com/title/tt0071562/?ref_=chttp_t_4","https://imdb.com/title/tt0071562/?ref_=chttp_t_4","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"5","5"," 12 Angry Men","https://imdb.com/title/tt0050083/?ref_=chttp_t_5","https://imdb.com/title/tt0050083/?ref_=chttp_t_5","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"6","6"," Schindler's List","https://imdb.com/title/tt0108052/?ref_=chttp_t_6","https://imdb.com/title/tt0108052/?ref_=chttp_t_6","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"7","7"," The Lord of the Rings: The Return of the King","https://imdb.com/title/tt0167260/?ref_=chttp_t_7","https://imdb.com/title/tt0167260/?ref_=chttp_t_7","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"8","8"," Pulp Fiction","https://imdb.com/title/tt0110912/?ref_=chttp_t_8","https://imdb.com/title/tt0110912/?ref_=chttp_t_8","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"9","9"," The Lord of the Rings: The Fellowship of the Ring","https://imdb.com/title/tt0120737/?ref_=chttp_t_9","https://imdb.com/title/tt0120737/?ref_=chttp_t_9","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"10","10"," The Good, the Bad and the Ugly","https://imdb.com/title/tt0060196/?ref_=chttp_t_10","https://imdb.com/title/tt0060196/?ref_=chttp_t_10","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
